Time Step,Mean Original C_HT,Std Original C_HT,Mean Perturbed C_HT,Std Perturbed C_HT
0,0.48960573476702507,0.013740561579753738,0.06354035347917439,0.031401382361547985
1,0.31580669880113704,0.024243674493728495,0.05870399208997651,0.03138697126862915
2,0.2935676059819553,0.028744555324268336,0.05814781856383637,0.030550144437189928
3,0.28556408354962304,0.035124359238519864,0.05998226424422198,0.03132506319211151
4,0.2756672846372513,0.032567600551352535,0.055424360400444926,0.03218713143419414
5,0.2714428995179829,0.0320732503170122,0.05481300210109998,0.029577899567408177
6,0.27027555308367324,0.03730070887394471,0.05636929922135707,0.03292930821323925
7,0.2530994932641206,0.03571070402581571,0.05636936101841552,0.032202759556091816
8,0.24553825237918678,0.03166536726649632,0.05631374366580151,0.033227077084592244
9,0.24175911506612283,0.04119601061415931,0.05625818811024595,0.031099034081615573
10,0.2350324434556915,0.03868264182126279,0.05736985539488319,0.03281023925364418
11,0.22841484365344206,0.036510413433853944,0.056147324187368675,0.027567751940078915
12,0.22035706340378197,0.031297180398020215,0.05692479297985416,0.029489102372800176
13,0.2094048325299716,0.029507557312609536,0.057758806080830546,0.03146902683918635
14,0.204402607835867,0.032234652663430875,0.05675800271907057,0.029649134695809497
15,0.20101520207638118,0.035952006115902164,0.05620226177233963,0.025737529247580198
16,0.19667420590779877,0.03299576593448689,0.05525757013966135,0.026217819825289982
17,0.18900389321468297,0.03466352146514995,0.05397954517364974,0.025269873141250468
18,0.18628123841305158,0.03476603844267422,0.052699789890001236,0.025802067456616104
19,0.18839315288592262,0.04303645846137911,0.05242281547398344,0.02496670633591314
20,0.1873955011741441,0.04873207320677896,0.052144357928562604,0.02403072164127688
21,0.1770535162526264,0.03974537179367972,0.05425682857495984,0.02712158524798416
22,0.17338363613891977,0.0403484032206569,0.05292213570634038,0.02545861057688549
23,0.1732738845630948,0.038151779993393746,0.05375639599555061,0.02622961550745399
24,0.1714378939562477,0.039691625014674964,0.05225540724261525,0.025488698364198786
25,0.17316271165492522,0.043007791089549344,0.05186614757137561,0.026973751605301043
26,0.17249388209121247,0.04014727848846816,0.05058812260536398,0.02478496013469166
27,0.16838215300951673,0.035694992359041,0.05064330737856878,0.024175347841455214
28,0.16676931158076874,0.03192886668546482,0.04914256581386726,0.021585787694137524
29,0.1555979483376591,0.02676079718747915,0.04530706958348782,0.013619195210492385
30,0.1534823878383389,0.022574204802980516,0.044639414163885796,0.013972116116953124
31,0.1460913360524039,0.028562144036873915,0.043917686318131255,0.01260106561206886
32,0.143977567667779,0.029563916728186437,0.041860400444938814,0.011168201787776758
33,0.1428108392040539,0.03309170547559787,0.04158249907304412,0.010431986308984155
34,0.1455327524409838,0.03125185656970203,0.04091533802990978,0.010457124477786068
35,0.14308836979359782,0.03137092550177425,0.04135978247435422,0.01064352341384066
36,0.14192083796811272,0.03282878923712212,0.04113756025213199,0.010955568947979853
37,0.13992052898282042,0.03364529433932637,0.04191620318872821,0.011985740206161995
38,0.1366401557285873,0.03223997044029664,0.04091533802990978,0.010457124477786068
39,0.13841830428871588,0.03249041666536164,0.04152681992337164,0.011037087552448638
40,0.13830855271289086,0.032405118179553445,0.0405817575083426,0.009746725963023038
41,0.135527808676307,0.034326052148353395,0.04108200469657644,0.01001034521484737
42,0.13547120257075762,0.03600153582392252,0.04030360894821407,0.009195775453522684
43,0.13931090100111235,0.034271875497517715,0.04135990606847113,0.010643811277285893
44,0.1410314547027561,0.03668244181117034,0.04136015325670498,0.011471985556514014
45,0.13786274873316032,0.03378945696545292,0.04124891855147695,0.010387427681942459
46,0.1336930540106291,0.030156227441967363,0.04002583117043629,0.008690778636724909
47,0.13547070819428994,0.03312283470840156,0.04063743665801507,0.009064615403721814
48,0.13564009393152884,0.03623510448826327,0.04008138672599184,0.00878777860310865
49,0.13502762328513163,0.032195504597808546,0.0407486713632431,0.009292322069595032
50,0.13586132740081572,0.03209932582055935,0.04074842417500927,0.010095512422495125
51,0.13502756148807316,0.034096851578833014,0.04113780744036584,0.010135219942874925
52,0.13469503151649984,0.03744395732965415,0.04108200469657644,0.010829261192856144
53,0.13224799159560002,0.03875213723388343,0.04258311704362872,0.013689615476799854
54,0.1288578049684835,0.03779217272285228,0.04241632678284513,0.014096690363731195
55,0.1272463848720801,0.0388635640176954,0.04147138796193301,0.010905503797202218
56,0.12524632307502165,0.03622304049042769,0.04074830058089235,0.010095249064248303
57,0.12196391051785935,0.0348504870615052,0.0413044741070325,0.01051522574458034
58,0.11879619330119887,0.03749754239177776,0.04130410332468174,0.011340460721908968
59,0.11929588431590657,0.03911320393464858,0.04230546285996786,0.012969948000506108
60,0.11868539117538006,0.03857948755458294,0.04202669632925472,0.013100452528219286
61,0.12274310962798171,0.044633185709648034,0.042138425410950434,0.012543752015228522
62,0.12179934495118032,0.04431933897425659,0.0420823754789272,0.013241088554374768
63,0.1215187245087134,0.043593624151934525,0.04280558645408478,0.014275141381488743
64,0.11990755160054381,0.04081323166008256,0.04297188233840069,0.015558786263137683
65,0.12390915832406377,0.03704418281309692,0.043027808676307004,0.014866907575311684
66,0.12240909652700531,0.03167444142326884,0.043861389197874176,0.017974071269863057
67,0.12157347670250895,0.02884831745494558,0.04547385984427141,0.021669986181872884
68,0.12307613397602273,0.03395823677795782,0.044472871091336054,0.019672426251844153
69,0.11734989494500063,0.033425548672741404,0.043806080830552464,0.01698321808189472
70,0.1175729205289828,0.03386946373348514,0.04274953652206155,0.014968491355696206
71,0.11924057594858484,0.03358765144415739,0.04319459893709059,0.015315105066751307
72,0.12374360400444939,0.03466183933058541,0.04269385737238907,0.014821690812201922
73,0.11929730564825114,0.03558131171362047,0.04275003089852923,0.014128242300531913
74,0.11746131504140403,0.03784487300947221,0.04169348659003831,0.01227266210925782
75,0.11829600791002345,0.04081216645490407,0.04263867259918428,0.01383513964536284
76,0.11923983438388333,0.038958626841755044,0.04186002966258806,0.012683309343657306
77,0.1176296502286491,0.038457222851838516,0.043750648869113826,0.01683057389391976
78,0.12252070201458412,0.04165384203572275,0.043360894821406495,0.016605538847893887
79,0.12252199975281175,0.0381070108982532,0.043750648869113826,0.01683057389391976
80,0.1216869978989,0.03556303396865625,0.04130435051291558,0.011341038640679622
81,0.12101971326164876,0.03500463953838335,0.04180484488938326,0.011710388218865418
82,0.11935242862439747,0.030029668266779337,0.04147114077369917,0.011735184948031148
83,0.11890736620936844,0.03063068975695244,0.04247188233840069,0.013399723968563102
